pais,anio,grupo_edad,sexo,causa,causa_grupo,q_c
Belice,2015,35-39,Mujer,II,Tumores,1.9301387964208215e-4
Belice,2015,35-39,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,8.927267954608694e-5
Belice,2015,35-39,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",2.687609584695065e-4
Belice,2015,35-39,Mujer,IX,Enfermedades del sistema circulatorio,1.4327788112302719e-5
Belice,2015,35-39,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",2.5511805372849777e-5
Belice,2015,35-39,Mujer,X,Enfermedades del sistema respiratorio,1.0129220474837126e-4
Belice,2015,35-39,Mujer,XI,Enfermedades del sistema digestivo,1.1357376705791287e-4
Belice,2015,35-39,Mujer,XII,Enfermedades de la piel y del tejido subcutáneo,2.5497656151741746e-6
Belice,2015,35-39,Mujer,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.39980290760571e-5
Belice,2015,35-39,Mujer,XIV,Enfermedades del sistema genitourinario,1.4563752180361536e-5
Belice,2015,35-39,Mujer,XV,"Embarazo, parto y puerperio",1.728341134604008e-5
Belice,2015,35-39,Mujer,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",8.69742964744682e-6
Belice,2015,35-39,Mujer,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",6.45424875792764e-6
Belice,2015,35-39,Mujer,XX,Causas externas de mortalidad,3.1152649824676276e-4
Belice,2015,40-44,Hombre,I,Enfermedades infecciosas y parasitarias,0.001405414421112416
Belice,2015,40-44,Hombre,II,Tumores,3.20423651200093e-4
Belice,2015,40-44,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1.1755854395301221e-5
Belice,2015,40-44,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.1933044161001005e-4
